n_miast;pop;limit_pokolen;p_mut;p_cross;elite_pct;best_len;dl_na_miasto;best_gen;gen_run;seed;tolerancja;czas_s
40;400;100;0.0;1.0;0.0;5749.29;143.732;88;100;0;;0.797
40;400;100;0.0;1.0;0.0;6810.13;170.253;70;100;1;;1.422
40;400;100;0.0;1.0;0.0;6132.18;153.305;75;100;2;;2.094
40;400;100;0.0;1.0;0.0;6043.94;151.099;79;100;3;;2.75
40;400;100;0.0;1.0;0.0;5982.65;149.566;84;100;4;;3.375
40;400;100;0.0;1.0;0.0;7095.32;177.383;53;100;5;;3.953
40;400;100;0.0;1.0;0.0;6381.69;159.542;98;100;6;;4.609
40;400;100;0.0;1.0;0.0;6545.27;163.632;80;100;7;;5.281
40;400;100;0.0;1.0;0.0;5946.66;148.667;88;100;8;;6.0
40;400;100;0.0;1.0;0.0;6464.98;161.624;99;100;9;;6.641
40;400;100;0.0;1.0;0.03;4197.27;104.932;100;100;0;;7.297
40;400;100;0.0;1.0;0.03;5170.88;129.272;92;100;1;;7.828
40;400;100;0.0;1.0;0.03;4646.78;116.17;96;100;2;;8.5
40;400;100;0.0;1.0;0.03;5385.44;134.636;92;100;3;;9.234
40;400;100;0.0;1.0;0.03;5260.66;131.516;85;100;4;;9.891
40;400;100;0.0;1.0;0.03;5999.54;149.988;68;100;5;;10.797
40;400;100;0.0;1.0;0.03;5361.98;134.05;94;100;6;;11.438
40;400;100;0.0;1.0;0.03;4802.65;120.066;71;100;7;;12.016
40;400;100;0.0;1.0;0.03;5441.4;136.035;82;100;8;;12.641
40;400;100;0.0;1.0;0.03;5226.25;130.656;100;100;9;;13.344
40;400;100;0.0;1.0;0.05;4400.59;110.015;91;100;0;;13.969
40;400;100;0.0;1.0;0.05;5044.25;126.106;94;100;1;;14.625
40;400;100;0.0;1.0;0.05;4585.95;114.649;94;100;2;;15.281
40;400;100;0.0;1.0;0.05;4907.87;122.697;81;100;3;;15.938
40;400;100;0.0;1.0;0.05;4359.9;108.998;100;100;4;;16.578
40;400;100;0.0;1.0;0.05;5537.79;138.445;97;100;5;;17.297
40;400;100;0.0;1.0;0.05;4680.59;117.015;98;100;6;;17.906
40;400;100;0.0;1.0;0.05;4886.82;122.17;98;100;7;;18.688
40;400;100;0.0;1.0;0.05;4668.8;116.72;100;100;8;;19.391
40;400;100;0.0;1.0;0.05;5211.39;130.285;93;100;9;;20.047
40;400;100;0.0;1.0;0.1;4188.7;104.718;88;100;0;;20.656
40;400;100;0.0;1.0;0.1;5058.31;126.458;100;100;1;;21.297
40;400;100;0.0;1.0;0.1;4179.75;104.494;91;100;2;;21.906
40;400;100;0.0;1.0;0.1;4000.93;100.023;95;100;3;;22.609
40;400;100;0.0;1.0;0.1;4664.2;116.605;96;100;4;;23.234
40;400;100;0.0;1.0;0.1;4976.31;124.408;98;100;5;;23.969
40;400;100;0.0;1.0;0.1;4128.39;103.21;95;100;6;;24.641
40;400;100;0.0;1.0;0.1;4308.75;107.719;86;100;7;;25.328
40;400;100;0.0;1.0;0.1;3986.01;99.65;90;100;8;;26.016
40;400;100;0.0;1.0;0.1;4471.32;111.783;99;100;9;;26.609
40;400;100;0.0;1.0;1.3;7282.32;182.058;1;100;0;;27.047
40;400;100;0.0;1.0;1.3;7833.21;195.83;1;100;1;;27.438
40;400;100;0.0;1.0;1.3;7066.0;176.65;1;100;2;;27.781
40;400;100;0.0;1.0;1.3;7835.39;195.885;1;100;3;;28.297
40;400;100;0.0;1.0;1.3;7740.79;193.52;1;100;4;;28.688
40;400;100;0.0;1.0;1.3;7811.19;195.28;1;100;5;;29.141
40;400;100;0.0;1.0;1.3;7989.7;199.742;1;100;6;;29.578
40;400;100;0.0;1.0;1.3;7550.04;188.751;1;100;7;;30.094
40;400;100;0.0;1.0;1.3;7336.59;183.415;1;100;8;;30.625
40;400;100;0.0;1.0;1.3;7206.74;180.168;1;100;9;;31.109
40;400;100;0.05;0.95;0.0;6412.72;160.318;19;100;0;;31.812
40;400;100;0.05;0.95;0.0;6465.94;161.648;82;100;1;;32.547
40;400;100;0.05;0.95;0.0;5284.63;132.116;84;100;2;;33.109
40;400;100;0.05;0.95;0.0;5474.01;136.85;77;100;3;;33.812
40;400;100;0.05;0.95;0.0;6268.74;156.718;17;100;4;;34.516
40;400;100;0.05;0.95;0.0;7587.72;189.693;94;100;5;;35.344
40;400;100;0.05;0.95;0.0;6264.32;156.608;84;100;6;;36.031
40;400;100;0.05;0.95;0.0;6395.39;159.885;50;100;7;;36.906
40;400;100;0.05;0.95;0.0;6717.83;167.946;87;100;8;;37.562
40;400;100;0.05;0.95;0.0;5843.67;146.092;72;100;9;;38.172
40;400;100;0.05;0.95;0.03;4603.14;115.079;93;100;0;;38.781
40;400;100;0.0;1.0;0.0;5749.29;143.732;88;100;0;;0.766
40;400;100;0.0;1.0;0.0;6810.13;170.253;70;100;1;;1.438
40;400;100;0.0;1.0;0.0;6132.18;153.305;75;100;2;;2.141
40;400;100;0.0;1.0;0.0;6043.94;151.099;79;100;3;;2.922
40;400;100;0.0;1.0;0.0;5982.65;149.566;84;100;4;;3.516
40;400;100;0.0;1.0;0.0;7095.32;177.383;53;100;5;;4.219
40;400;100;0.0;1.0;0.03;4197.27;104.932;100;100;0;;4.906
40;400;100;0.0;1.0;0.03;5170.88;129.272;92;100;1;;5.594
40;400;100;0.0;1.0;0.03;4646.78;116.17;96;100;2;;6.438
40;400;100;0.0;1.0;0.03;5385.44;134.636;92;100;3;;7.188
40;400;100;0.0;1.0;0.03;5260.66;131.516;85;100;4;;7.859
40;400;100;0.0;1.0;0.03;5999.54;149.988;68;100;5;;8.406
40;400;100;0.0;1.0;0.05;4400.59;110.015;91;100;0;;9.094
40;400;100;0.0;1.0;0.05;5044.25;126.106;94;100;1;;9.672
40;400;100;0.0;1.0;0.05;4585.95;114.649;94;100;2;;10.438
40;400;100;0.0;1.0;0.05;4907.87;122.697;81;100;3;;11.156
40;400;100;0.0;1.0;0.05;4359.9;108.998;100;100;4;;11.844
40;400;100;0.0;1.0;0.05;5537.79;138.445;97;100;5;;12.422
40;400;100;0.0;1.0;0.1;4188.7;104.718;88;100;0;;13.109
40;400;100;0.0;1.0;0.1;5058.31;126.458;100;100;1;;13.797
40;400;100;0.0;1.0;0.1;4179.75;104.494;91;100;2;;14.438
40;400;100;0.0;1.0;0.1;4000.93;100.023;95;100;3;;15.062
40;400;100;0.0;1.0;0.1;4664.2;116.605;96;100;4;;15.688
40;400;100;0.0;1.0;0.1;4976.31;124.408;98;100;5;;16.297
40;400;100;0.0;1.0;1.3;7282.32;182.058;1;100;0;;16.609
40;400;100;0.0;1.0;1.3;7833.21;195.83;1;100;1;;17.016
40;400;100;0.0;1.0;1.3;7066.0;176.65;1;100;2;;17.266
40;400;100;0.0;1.0;1.3;7835.39;195.885;1;100;3;;17.609
40;400;100;0.0;1.0;1.3;7740.79;193.52;1;100;4;;18.094
40;400;100;0.0;1.0;1.3;7811.19;195.28;1;100;5;;18.453
40;400;100;0.05;0.95;0.0;6412.72;160.318;19;100;0;;19.156
40;400;100;0.05;0.95;0.0;6465.94;161.648;82;100;1;;19.766
40;400;100;0.05;0.95;0.0;5284.63;132.116;84;100;2;;20.703
40;400;100;0.05;0.95;0.0;5474.01;136.85;77;100;3;;21.766
40;400;100;0.05;0.95;0.0;6268.74;156.718;17;100;4;;22.906
40;400;100;0.05;0.95;0.0;7587.72;189.693;94;100;5;;24.141
40;400;100;0.05;0.95;0.03;4603.14;115.079;93;100;0;;25.422
40;400;100;0.05;0.95;0.03;5412.29;135.307;86;100;1;;26.562
40;400;100;0.05;0.95;0.03;4667.12;116.678;91;100;2;;27.812
40;400;100;0.05;0.95;0.03;4885.75;122.144;95;100;3;;28.609
40;400;100;0.05;0.95;0.03;4751.67;118.792;96;100;4;;29.609
40;400;100;0.05;0.95;0.03;6132.64;153.316;97;100;5;;30.719
40;400;100;0.05;0.95;0.05;4522.29;113.057;95;100;0;;31.641
40;400;100;0.05;0.95;0.05;4639.92;115.998;97;100;1;;32.703
40;400;100;0.05;0.95;0.05;4388.6;109.715;94;100;2;;33.75
40;400;100;0.05;0.95;0.05;4637.63;115.941;85;100;3;;34.859
40;400;100;0.05;0.95;0.05;4991.27;124.782;100;100;4;;35.828
40;400;100;0.05;0.95;0.05;5735.79;143.395;95;100;5;;36.703
40;400;100;0.05;0.95;0.1;3365.18;84.13;95;100;0;;37.688
40;400;100;0.05;0.95;0.1;4342.46;108.561;96;100;1;;38.875
40;400;100;0.05;0.95;0.1;3708.37;92.709;94;100;2;;40.016
40;400;100;0.05;0.95;0.1;3637.47;90.937;99;100;3;;41.031
40;400;100;0.05;0.95;0.1;3912.16;97.804;87;100;4;;41.969
40;400;100;0.05;0.95;0.1;4653.04;116.326;98;100;5;;42.906
40;400;100;0.05;0.95;1.3;7282.32;182.058;1;100;0;;43.625
40;400;100;0.05;0.95;1.3;7833.21;195.83;1;100;1;;44.359
40;400;100;0.05;0.95;1.3;7066.0;176.65;1;100;2;;45.0
40;400;100;0.05;0.95;1.3;7835.39;195.885;1;100;3;;45.797
40;400;100;0.05;0.95;1.3;7740.79;193.52;1;100;4;;46.562
40;400;100;0.05;0.95;1.3;7811.19;195.28;1;100;5;;47.422
40;400;100;0.1;0.9;0.0;6061.03;151.526;71;100;0;;48.391
40;400;100;0.1;0.9;0.0;6638.29;165.957;96;100;1;;49.562
40;400;100;0.1;0.9;0.0;5751.32;143.783;52;100;2;;50.453
40;400;100;0.1;0.9;0.0;5261.41;131.535;80;100;3;;51.516
40;400;100;0.1;0.9;0.0;6398.27;159.957;50;100;4;;52.484
40;400;100;0.1;0.9;0.0;7341.19;183.53;18;100;5;;53.547
40;400;100;0.1;0.9;0.03;4796.39;119.91;86;100;0;;54.453
40;400;100;0.1;0.9;0.03;5482.14;137.053;96;100;1;;55.438
40;400;100;0.1;0.9;0.03;4776.95;119.424;73;100;2;;56.281
40;400;100;0.1;0.9;0.03;5064.98;126.625;98;100;3;;57.234
40;400;100;0.1;0.9;0.03;4929.83;123.246;93;100;4;;58.297
40;400;100;0.1;0.9;0.03;5565.57;139.139;83;100;5;;59.344
40;400;100;0.1;0.9;0.05;4007.59;100.19;98;100;0;;60.344
40;400;100;0.1;0.9;0.05;5237.19;130.93;92;100;1;;61.469
40;400;100;0.1;0.9;0.05;4751.82;118.795;81;100;2;;62.609
40;400;100;0.1;0.9;0.05;5074.59;126.865;100;100;3;;63.719
40;400;100;0.1;0.9;0.05;4587.65;114.691;100;100;4;;64.844
40;400;100;0.1;0.9;0.05;5618.44;140.461;94;100;5;;65.953
40;400;100;0.1;0.9;0.1;4249.36;106.234;95;100;0;;67.062
40;400;100;0.1;0.9;0.1;4377.93;109.448;97;100;1;;68.141
40;400;100;0.1;0.9;0.1;3963.8;99.095;94;100;2;;69.219
40;400;100;0.1;0.9;0.1;3498.4;87.46;96;100;3;;70.328
40;400;100;0.1;0.9;0.1;4126.3;103.157;98;100;4;;71.391
40;400;100;0.1;0.9;0.1;4538.32;113.458;100;100;5;;72.516
