n_miast;pop;limit_pokolen;p_mut;p_cross;elite_pct;best_len;dl_na_miasto;best_gen;gen_run;seed;tolerancja;czas_s
40;400;100;0.0;1.0;0.0;5821.24;145.531;93;100;0;;1.078
40;400;100;0.0;1.0;0.0;6239.37;155.984;100;100;1;;2.016
40;400;100;0.0;1.0;0.0;5418.54;135.463;60;100;2;;2.766
40;400;100;0.0;1.0;0.0;6515.69;162.892;88;100;3;;3.688
40;400;100;0.0;1.0;0.0;6034.45;150.861;76;100;4;;4.594
40;400;100;0.0;1.0;0.0;6588.89;164.722;96;100;5;;5.609
40;400;100;0.0;1.0;0.03;4791.49;119.787;95;100;0;;6.625
40;400;100;0.0;1.0;0.03;4289.03;107.226;98;100;1;;7.484
40;400;100;0.0;1.0;0.03;3937.96;98.449;97;100;2;;8.391
40;400;100;0.0;1.0;0.03;4578.45;114.461;94;100;3;;9.266
40;400;100;0.0;1.0;0.03;3915.33;97.883;100;100;4;;10.219
40;400;100;0.0;1.0;0.03;4834.98;120.874;95;100;5;;11.156
40;400;100;0.0;1.0;0.05;3472.92;86.823;99;100;0;;12.109
40;400;100;0.0;1.0;0.05;4190.56;104.764;100;100;1;;13.062
40;400;100;0.0;1.0;0.05;3555.87;88.897;97;100;2;;14.047
40;400;100;0.0;1.0;0.05;3552.81;88.82;100;100;3;;15.031
40;400;100;0.0;1.0;0.05;4047.02;101.175;100;100;4;;16.016
40;400;100;0.0;1.0;0.05;5064.39;126.61;95;100;5;;17.031
40;400;100;0.0;1.0;0.1;3829.07;95.727;100;100;0;;17.812
40;400;100;0.0;1.0;0.1;3970.73;99.268;100;100;1;;18.625
40;400;100;0.0;1.0;0.1;3148.15;78.704;98;100;2;;19.422
40;400;100;0.0;1.0;0.1;3149.46;78.736;100;100;3;;20.375
40;400;100;0.0;1.0;0.1;3696.71;92.418;98;100;4;;21.25
40;400;100;0.0;1.0;0.1;3478.69;86.967;100;100;5;;21.984
40;400;100;0.0;1.0;1.3;7282.32;182.058;1;100;0;;22.609
40;400;100;0.0;1.0;1.3;7833.21;195.83;1;100;1;;23.266
40;400;100;0.0;1.0;1.3;7066.0;176.65;1;100;2;;23.922
40;400;100;0.0;1.0;1.3;7835.39;195.885;1;100;3;;24.547
40;400;100;0.0;1.0;1.3;7740.79;193.52;1;100;4;;25.203
40;400;100;0.0;1.0;1.3;7811.19;195.28;1;100;5;;25.766
40;400;100;0.05;0.95;0.0;5619.2;140.48;96;100;0;;26.562
40;400;100;0.05;0.95;0.0;5900.17;147.504;91;100;1;;27.359
40;400;100;0.05;0.95;0.0;5296.65;132.416;99;100;2;;28.062
40;400;100;0.05;0.95;0.0;6225.02;155.625;62;100;3;;29.0
40;400;100;0.05;0.95;0.0;6117.72;152.943;99;100;4;;30.0
40;400;100;0.05;0.95;0.0;7018.75;175.469;80;100;5;;30.938
40;400;100;0.05;0.95;0.03;3589.53;89.738;98;100;0;;31.734
40;400;100;0.05;0.95;0.03;4510.97;112.774;98;100;1;;32.641
40;400;100;0.05;0.95;0.03;4263.34;106.583;100;100;2;;33.375
40;400;100;0.05;0.95;0.03;4098.79;102.47;99;100;3;;34.312
40;400;100;0.05;0.95;0.03;3852.3;96.308;95;100;4;;35.109
40;400;100;0.05;0.95;0.03;4154.54;103.864;99;100;5;;35.953
40;400;100;0.05;0.95;0.05;3944.0;98.6;94;100;0;;36.703
40;400;100;0.05;0.95;0.05;3861.75;96.544;99;100;1;;37.547
40;400;100;0.05;0.95;0.05;3471.52;86.788;100;100;2;;38.25
40;400;100;0.05;0.95;0.05;4153.64;103.841;100;100;3;;39.172
40;400;100;0.05;0.95;0.05;3922.18;98.055;100;100;4;;40.047
40;400;100;0.05;0.95;0.05;4022.51;100.563;99;100;5;;40.906
40;400;100;0.05;0.95;0.1;3146.97;78.674;100;100;0;;41.641
40;400;100;0.05;0.95;0.1;3788.88;94.722;100;100;1;;42.375
40;400;100;0.05;0.95;0.1;2806.48;70.162;99;100;2;;43.141
40;400;100;0.05;0.95;0.1;3313.92;82.848;99;100;3;;44.062
40;400;100;0.05;0.95;0.1;2985.74;74.643;98;100;4;;44.906
40;400;100;0.05;0.95;0.1;4300.92;107.523;100;100;5;;45.484
40;400;100;0.05;0.95;1.3;7282.32;182.058;1;100;0;;46.078
40;400;100;0.05;0.95;1.3;7833.21;195.83;1;100;1;;46.516
40;400;100;0.05;0.95;1.3;7066.0;176.65;1;100;2;;47.25
40;400;100;0.05;0.95;1.3;7835.39;195.885;1;100;3;;47.844
40;400;100;0.05;0.95;1.3;7740.79;193.52;1;100;4;;48.5
40;400;100;0.05;0.95;1.3;7811.19;195.28;1;100;5;;49.078
40;400;100;0.1;0.9;0.0;5464.91;136.623;93;100;0;;50.016
40;400;100;0.1;0.9;0.0;6135.83;153.396;94;100;1;;50.766
40;400;100;0.1;0.9;0.0;5442.33;136.058;82;100;2;;51.641
40;400;100;0.1;0.9;0.0;6372.02;159.3;40;100;3;;52.469
40;400;100;0.1;0.9;0.0;6067.6;151.69;52;100;4;;53.406
40;400;100;0.1;0.9;0.0;6701.58;167.54;99;100;5;;54.172
40;400;100;0.1;0.9;0.03;3683.06;92.077;96;100;0;;54.953
40;400;100;0.1;0.9;0.03;4731.49;118.287;99;100;1;;55.609
40;400;100;0.1;0.9;0.03;3773.88;94.347;99;100;2;;56.406
40;400;100;0.1;0.9;0.03;4547.01;113.675;97;100;3;;57.375
